Time,Source,Destination,Protocol,Status
14:34:01,10.78.150.254,10.78.150.79,17,✅ Normal
14:34:01,10.78.150.254,10.78.150.79,17,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:01,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,40.119.249.228,10.78.150.79,6,✅ Normal
14:34:02,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
14:34:03,10.78.150.79,40.119.249.228,6,✅ Normal
